1|Petrovac|Montenegro
2|Budva|Montenegro
3|Sarajevo|Bosnia and Herzegovina
4|Harare|Zimbabve
5|o|o
6|Athens|Greece
7|Belgrade|Serbia
8|Belgrade|Serbia
9|Nevesinje|Bosnia and Herzegovina
10|Novi Sad|Serbia
11|Victoria|Seychelles
12|;lkjhg|ghjk
13|f|f
14|f|f
15|y|y
16|h|h
17|d|d
18|q|q
19|e|e
20|Moshi|Tanzania
21|fg|gf
22|a|a
23|a|a
24|a|a
25|s|s
26|a|a
27|d|d
28|aaa|aaa
29|a|a
30|a|a
31|a|a
32|Serbia|Serbia
33|ca|ca
34|a|a
35|tura|tura
36|d|d
37|s|s
38|d|d
39|d|d
40|a|a
41|s|s
42|f|f
43|Lemon City|Lemon Country
44|ds|ds
45|Subotica|Srbija
46|q|q
